h,Consommation (MW),Production total,Coût total,Nb centrale A,Puissance tot A,Coût A,Nb centrale B,Puissance tot B,Coût B,Nb centrale C,Puissance tot C,Coût C,"Fonctionnement 9, palier 1","Puissance tot 9, palier 1","Coût 9, palier 1","Fonctionnement 9, palier 2","Puissance tot 9, palier 2","Coût 9, palier 2","Fonctionnement 9, palier 3","Puissance tot 9, palier 3","Coût 9, palier 3","Fonctionnement 9, palier 4","Puissance tot 9, palier 4","Coût 9, palier 4",Démarrage 9,Fonctionnement 9,Puissance tot 9,Coût 9,"Fonctionnement 14, palier 1","Puissance tot 14, palier 1","Coût 14, palier 1","Fonctionnement 14, palier 2","Puissance tot 14, palier 2","Coût 14, palier 2","Fonctionnement 14, palier 3","Puissance tot 14, palier 3","Coût 14, palier 3","Fonctionnement 14, palier 4","Puissance tot 14, palier 4","Coût 14, palier 4",Démarrage 14,Fonctionnement 14,Puissance tot 14,Coût 14,Pompage,Réservoir variation,Réservoir,Coût MWh
0,15000,15000.0,21711.00000000067,12,10199.999999999987,11999.999999999975,3,5220.000000000535,9711.000000000695,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-420.00000000052245,0.14000000000017415,0.14000000000017415,1.4474000000000447
1,15000,15000.0,21749.999999999996,12,10199.999999999987,11999.999999999975,3,5250.000000000017,9750.000000000022,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-450.00000000000455,0.15000000000000152,0.2900000000001757,1.4499999999999997
2,15000,15000.0,21750.00000000001,12,10199.999999999995,11999.999999999989,3,5250.000000000017,9750.000000000022,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-450.0000000000118,0.15000000000000394,0.4400000000001796,1.4500000000000006
3,15000,15000.0,21749.999999999985,12,10199.999999999987,11999.999999999975,3,5250.00000000001,9750.000000000013,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-449.99999999999727,0.14999999999999908,0.5900000000001786,1.449999999999999
4,15000,15000.0,21749.999999999978,12,10199.999999999987,11999.999999999975,3,5250.000000000001,9750.000000000002,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-449.9999999999882,0.14999999999999605,0.7400000000001746,1.4499999999999986
5,15000,15000.0,21749.999999999993,12,10199.999999999995,11999.999999999989,3,5250.000000000005,9750.000000000005,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-449.9999999999991,0.1499999999999997,0.8900000000001743,1.4499999999999995
6,30000,30000.0,55349.99999999994,12,14249.99999999991,20099.99999999982,9,15750.00000000009,35250.00000000012,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.8900000000001743,1.844999999999998
7,30000,30000.0,49350.0,12,14249.999999999993,20099.999999999985,9,15750.000000000007,29250.00000000001,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.8900000000001743,1.645
8,30000,30000.0,49350.0,12,14249.999999999993,20099.999999999985,9,15750.000000000007,29250.00000000001,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.8900000000001743,1.645
9,25000,25000.0,41249.999999999985,12,10199.999999999985,11999.99999999997,9,15750.000000000007,29250.00000000001,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-949.9999999999927,0.3166666666666642,1.2066666666668384,1.6499999999999995
10,25000,25000.0,41249.99999999997,12,10199.999999999985,11999.99999999997,9,15750.000000000004,29250.000000000004,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-949.9999999999891,0.31666666666666304,1.5233333333335015,1.6499999999999988
11,25000,25000.0,41249.99999999998,12,10199.999999999987,11999.999999999975,9,15750.000000000004,29250.000000000004,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-949.9999999999909,0.3166666666666636,1.840000000000165,1.649999999999999
12,25000,25000.0,41249.99999999998,12,10199.999999999987,11999.999999999975,9,15750.000000000004,29250.000000000004,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-949.9999999999909,0.3166666666666636,2.156666666666829,1.649999999999999
13,25000,25000.0,41249.99999999999,12,10199.999999999995,11999.999999999989,9,15750.000000000004,29250.000000000004,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-949.9999999999982,0.31666666666666604,2.473333333333495,1.6499999999999997
14,25000,25000.0,41250.00000000003,12,10199.999999999995,11999.999999999989,9,15750.000000000031,29250.00000000004,0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-950.0000000000255,0.31666666666667515,2.79000000000017,1.6500000000000012
15,40000,40000.0,69640.0,12,21849.999999999993,35299.999999999985,9,15750.000000000007,29250.00000000001,1,1500.0,3500.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,900.0,1590.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.31,2.48000000000017,1.741
16,40000,40000.0,67640.0,12,21849.999999999993,35299.999999999985,9,15750.000000000007,29250.00000000001,1,1500.0,3000.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.31,2.17000000000017,1.691
17,40000,40000.0,67639.99999999999,12,21849.999999999985,35299.99999999997,9,15750.000000000015,29250.00000000002,1,1500.0,3000.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.31,1.86000000000017,1.6909999999999996
18,27000,26999.999999999913,41639.99999999982,12,10349.999999999902,12299.999999999804,9,15750.000000000011,29250.000000000015,0,0.0,0.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.31,1.55000000000017,1.5422222222222204
19,27000,26999.999999999913,41639.99999999982,12,10349.999999999902,12299.999999999804,9,15750.000000000011,29250.000000000015,0,0.0,0.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.31,1.2400000000001699,1.5422222222222204
20,27000,26999.999999999916,41639.999999999825,12,10349.999999999905,12299.99999999981,9,15750.000000000011,29250.000000000015,0,0.0,0.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.31,0.9300000000001698,1.5422222222222206
21,27000,26999.999999999956,41639.999999999905,12,10349.999999999945,12299.99999999989,9,15750.000000000011,29250.000000000015,0,0.0,0.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.31,0.6200000000001697,1.5422222222222213
22,27000,26999.999999999894,41639.99999999978,12,10349.999999999884,12299.999999999767,9,15750.000000000011,29250.000000000015,0,0.0,0.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,900.0,90.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.31,0.31000000000016975,1.5422222222222202
